part_lpn,override_type,override_value,reason
10-06647E,makebuy,Make,"Product BOM fix: PCBA DCDC/BMS, with Conformal Coat, LFP DC ESS (CM name incorrectly assigned as vendor) — temporary"
10-003754,makebuy,Buy,Product BOM fix: UV Curable Polyurethane Conformal Coating (CM name incorrectly assigned as vendor) — temporary
10-003754,sourcing_flat_qty,1,Product BOM fix: UV Curable Polyurethane Conformal Coating (CM name incorrectly assigned as vendor) — temporary
30-07555C,makebuy,Make,Product BOM fix: Lunar 2.1 DCDC-BMS PCBA (CM name incorrectly assigned as vendor) — temporary
10-000603,makebuy,Buy,Product BOM fix: LED RED CLEAR 2SMD (CM name incorrectly assigned as vendor) — temporary
10-000603,sourcing_flat_qty,1,Product BOM fix: LED RED CLEAR 2SMD (CM name incorrectly assigned as vendor) — temporary
10-000614,makebuy,Buy,Product BOM fix: DIODE SCHOTTKY 20V 500MA SOD123 (CM name incorrectly assigned as vendor) — temporary
10-000614,sourcing_flat_qty,3,Product BOM fix: DIODE SCHOTTKY 20V 500MA SOD123 (CM name incorrectly assigned as vendor) — temporary
10-000658,makebuy,Buy,Product BOM fix: RES SMD 10K OHM 1% 1/16W 0402 (CM name incorrectly assigned as vendor) — temporary
10-000658,sourcing_flat_qty,20,Product BOM fix: RES SMD 10K OHM 1% 1/16W 0402 (CM name incorrectly assigned as vendor) — temporary
10-000671,makebuy,Buy,Product BOM fix: DIODE SCHOTTKY 30V 1A SMA (CM name incorrectly assigned as vendor) — temporary
10-000671,sourcing_flat_qty,1,Product BOM fix: DIODE SCHOTTKY 30V 1A SMA (CM name incorrectly assigned as vendor) — temporary
10-000711,makebuy,Buy,Product BOM fix: CMC 100UH 150MA 2LN SMD AEC-Q200 (CM name incorrectly assigned as vendor) — temporary
10-000711,sourcing_flat_qty,1,Product BOM fix: CMC 100UH 150MA 2LN SMD AEC-Q200 (CM name incorrectly assigned as vendor) — temporary
10-000729,makebuy,Buy,"Product BOM fix: Interface Circuit, CMOS, PDSO8 (CM name incorrectly assigned as vendor) — temporary"
10-000729,sourcing_flat_qty,1,"Product BOM fix: Interface Circuit, CMOS, PDSO8 (CM name incorrectly assigned as vendor) — temporary"
10-000989,makebuy,Buy,Product BOM fix: OPTOISOLATOR 5KV TRANSISTOR 4SMD (CM name incorrectly assigned as vendor) — temporary
