cm,part,description,state,first_shortage_date,shortage_qty,opening,undated,products
Qualitel,10-000659,RES SMD 100 OHM 1% 1/16W 0402 AEC-Q,IN_PRODUCTION,2027-03-15,59706.70967741936,49057.0,0.0,"MSAC, Terminal PCBA (TRM)"
Sienna,10-000553,"3.8V-32V INPUT, 3.5A Low Iq Synchronous Buck with Enhanced EMI Reduction PWM Only AEC-Q",IN_PRODUCTION,2027-03-15,841.7741935483864,14243.0,0.0,"9.6 KW Inverter, PV Hub"
Sienna,10-005577,"Cable Tie, Locking, Black, 50lbs, Nylon, 188 x 4.8 mm",IN_PRODUCTION,2027-03-22,180.7741935483864,8281.0,0.0,9.6 KW Inverter
Sienna,10-002481,IC PWR SUPPLY SEQUENCER SOT23-6,IN_PRODUCTION,2027-03-22,173.3870967741932,5383.0,0.0,9.6 KW Inverter
Sienna,10-002469,USB POWER SWITCHT SOT25T&R3K,IN_PRODUCTION,2027-03-22,172.38709677419365,2384.0,0.0,9.6 KW Inverter
Sienna,10-001672,RELAY GEN PURPOSE SPDT 10A 12V,IN_PRODUCTION,2027-03-22,161.7741935483864,10951.0,0.0,9.6 KW Inverter
Sienna,10-002485,IC BUF NON-INVERT 5.5V SOT23-5,IN_PRODUCTION,2027-03-22,135.38709677419365,2421.0,0.0,9.6 KW Inverter
Sienna,10-002615,IC EEPROM 512KBIT I2C 1MHZ 8SOIC,IN_PRODUCTION,2027-03-22,149.3870967741932,5407.0,0.0,9.6 KW Inverter
Sienna,10-002464,IC TRANSCEIVER FULL 1/1 48TQFP,IN_PRODUCTION,2027-03-22,145.38709677419365,3411.0,0.0,9.6 KW Inverter
Sienna,10-002463,LTE Cat M1 Cat Nb2 EGPRS Module,IN_PRODUCTION,2027-03-22,117.3870967741932,1439.0,0.0,9.6 KW Inverter
Sienna,10-004666,PV Disconnect Switch 0.1 mA at 3.3 VDC,IN_PRODUCTION,2027-03-22,88.38709677419365,2126.0,0.0,9.6 KW Inverter
Sienna,10-005899,Module Industrial ESim MFF2 MultiSIM-M2M 4.2.1 5x6mm,IN_PRODUCTION,2027-03-22,158.3870967741932,3916.0,0.0,9.6 KW Inverter
Sienna,10-002392,"RF/ Coaxial Connectors, 50 Ohms, FAKRA SMB Jack, Straight, PCB, Keying Option B, Signal White",IN_PRODUCTION,2027-03-22,235.7741935483864,4877.0,0.0,9.6 KW Inverter
Sienna,10-002616,CMC 300MA 2LN 360OHM SMD AECQ200,IN_PRODUCTION,2027-03-22,340.7741935483864,10772.0,0.0,9.6 KW Inverter
Sienna,10-001150,RES SMD 4.99 OHM 1% 1/10W 0603 AEC-Q,IN_PRODUCTION,2027-03-22,350.1612903225805,6319.0,0.0,9.6 KW Inverter
Sienna,10-002090,"CMOS, 50MHz Min, 6000MHz Max, 1 Func, 0.75dB Insertion Loss-Max",IN_PRODUCTION,2027-03-22,474.1612903225796,16195.0,0.0,9.6 KW Inverter
Sienna,10-002475,CAP CER 5600PF 50V X7R 0402,IN_PRODUCTION,2027-03-22,713.9354838709696,27068.0,0.0,9.6 KW Inverter
Sienna,10-005125,"Screw,M4x0.7 6gx12mm,BHT T15,Steel,Nylon Patch",IN_PRODUCTION,2027-03-22,1296.0967741935456,15655.0,0.0,9.6 KW Inverter
Sienna,10-003096,CAP CER 10UF 50V X7S 1210 AEC-Q,IN_PRODUCTION,2027-03-22,5059.354838709678,25606.0,0.0,"9.6 KW Inverter, Bridge"
Qualitel,10-006452,DIODE TVS 14VWM SOT23-6,IN_PRODUCTION,2027-03-22,5200.903225806453,4212.0,6000.0,MSAC
Qualitel,10-000729,"Interface Circuit, CMOS, PDSO8",IN_PRODUCTION,2027-03-22,23201.8064516129,15165.0,0.0,"2.1 LFP Block, Power PCBA (IPC), Terminal PCBA (TRM)"
Qualitel,10-003493,RES 100 OHM 1% 1/4W 1206 AEC-Q,IN_PRODUCTION,2027-03-22,47340.35483870968,27079.0,0.0,2.1 LFP Block
Qualitel,10-002375,CAP CER 0.1UF 250V X7R 1206,IN_PRODUCTION,2027-03-22,185122.41935483873,112555.0,0.0,2.1 LFP Block
Sienna,10-001581,SPEED & CURRENT SENSORS PG-TISON,IN_PRODUCTION,2027-03-22,278.935483870966,10003.0,0.0,9.6 KW Inverter
Qualitel,10-07075A,"Label, Warning, Connector Lock",IN_PRODUCTION,2027-03-29,2481.4516129032263,3725.0,0.0,MSAC
Sienna,10-001228,CAP 10UF 25V X7S 0805 SOFT TERMINATION,IN_PRODUCTION,2027-03-29,145.1612903225796,16524.0,0.0,9.6 KW Inverter
Sienna,10-000943,"MOSFET Silicon carbide Power MOSFET 650 V, 18 mOhm typ 119 A",IN_PRODUCTION,2027-03-29,266.3225806451592,16272.0,0.0,9.6 KW Inverter
Sienna,10-005045,Diode Switching 85V 0.155A 3-Pin SOT-523 T/R,IN_PRODUCTION,2027-03-29,753.1935483870911,70149.0,0.0,9.6 KW Inverter
Qualitel,10-006707,RES SMD 330 OHM 1% 3/4W 1206 AEC-Q,IN_PRODUCTION,2027-03-29,9888.806451612903,4937.0,0.0,MSAC
Sienna,10-000627,2 x 3 Beige Conn Header SMD 6POS 2.5MM,IN_PRODUCTION,2027-03-29,126.16129032257959,12043.0,0.0,9.6 KW Inverter
Qualitel,10-006638,CAP CER 10000PF 1KV X7R 1812,IN_PRODUCTION,2027-03-29,22260.67741935484,5949.0,2083.0,2.1 LFP Block
Qualitel,10-005019,Res Thick Film 0603 4.7K Ohm 1% 0.1W(1/10W) ±100ppm/°C Pad SMD T/R,IN_PRODUCTION,2027-03-29,22283.25806451613,19922.0,0.0,"2.1 LFP Block, Power PCBA (IPC)"
Qualitel,10-003040,CAP CER 0.1UF 50V X7R 0603,IN_PRODUCTION,2027-03-29,67859.38709677421,107047.0,0.0,"2.1 LFP Block, Power PCBA (IPC)"
Qualitel,10-001480,"Screw,6-19xPLAST 48/2, 0.5"",BHT T-15,T/F,Steel,ZnNi BC",IN_PRODUCTION,2027-03-29,131590.06451612903,41668.0,0.0,2.1 LFP Block
Qualitel,10-000657,RES SMD 750 OHM 1% 1/16W 0402 AEC-Q,IN_PRODUCTION,2027-03-29,10009.516129032258,30530.0,0.0,"MSAC, Terminal PCBA (TRM)"
Sienna,10-004072,"Bus Bar, Ground to Enclosure, Bridge",IN_PRODUCTION,2027-04-05,2081.9032258064517,2038.0,0.0,Bridge
Sienna,10-002245,"Load Tray, 20 Space, 40 Circuit, 225A",IN_PRODUCTION,2027-04-05,2097.9032258064517,1122.0,1350.0,Bridge
Sienna,10-002225,"Bracket Assembly, PCBA, Bridge",IN_PRODUCTION,2027-04-05,2105.9032258064517,1514.0,0.0,Bridge
Sienna,10-002773,MOSFET N-CH 700V 12.5A TO252-3,IN_PRODUCTION,2027-04-05,2117.0645161290304,19272.0,0.0,"9.6 KW Inverter, Bridge"
Sienna,10-003805,"Wire Harness, CAN Jumper, Bridge",IN_PRODUCTION,2027-04-05,2143.9032258064517,2576.0,1450.0,Bridge
