,cm,part,description,item_category,cm_on_hand,cm_on_order,cm_unit_price,cm_price_source,lunar_on_hand_alloc,lunar_on_order_alloc,lunar_unit_price,obsolescence_state,projection_type,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07
3396,Celestica,10-06755A,"Wall Bracket Asy, Battery Block, Type 2",Part,0,0,15.49,CM On-Hand,0,0,40.656800000000004,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3397,Lunar,10-06755A,"Wall Bracket Asy, Battery Block, Type 2",Part,0,0,15.49,CM On-Hand,0,0,40.656800000000004,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3398,Qualitel,10-06755A,"Wall Bracket Asy, Battery Block, Type 2",Part,1494,36774,15.49,CM On-Hand,336,0,40.656800000000004,Active in Both,CM Depletion,23142,89098,97091,96224,79743,19332,0,0,0,0,0,0,0
3399,Sienna,10-002498,Secure Authenticator 8-TDFN-EP (2x2),Electrical Components,2042,3000,0.647,CM On-Hand,0,0,0.61,Gen 1 Only,CM Depletion,1530,981,463,1872,1414,1011,638,327,282,282,282,282,282
3400,Lunar,10-002498,Secure Authenticator 8-TDFN-EP (2x2),Electrical Components,0,0,0.647,CM On-Hand,12500,0,0.61,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3401,Lunar,10-003867,RES SMD 1.2K OHM 1% 1/10W 0603 AEC-Q,Electrical Components,0,0,0,,100000,0,0.00206,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3402,Lunar,10-001835,0,0,0,0,0,,0,24000,0.205,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3403,Qualitel,10-06938A,"Fan Shroud with Inserts, DCDC, LFP ESS, Fan Mtg, Front",Part,128,20412,1.18,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,151,4659,4309,4399,3469,0,0,0,0,0,0,0,0
3404,Lunar,10-06938A,"Fan Shroud with Inserts, DCDC, LFP ESS, Fan Mtg, Front",Part,0,0,1.18,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3405,Lunar,30-06909B,0,0,0,0,0,,0,20,400.56,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3406,Sienna,10-005855,"Packaging, Bridge, Back Cap Wrap",Part,899,700,3.16,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,3132,2831,1789,746,0,0,0,0,0,0,0,0,0
3407,Lunar,10-005855,"Packaging, Bridge, Back Cap Wrap",Part,0,0,3.16,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3408,Sienna,10-001133,RES SMD 5.1K OHM 1% 1/10W 0603 AEC-Q,Electrical Components,44500,0,0.0015162704616416343,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,69,66,63,60,57,55,52,51,50,49,48,47,46
3409,Qualitel,10-001133,RES SMD 5.1K OHM 1% 1/10W 0603 AEC-Q,Electrical Components,185137,0,0.0015162704616416343,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,255,190,122,50,10,4,4,4,4,4,4,4,4
3410,Lunar,10-001133,RES SMD 5.1K OHM 1% 1/10W 0603 AEC-Q,Electrical Components,0,0,0.0015162704616416343,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
